cycle_id,timestep,spindle_01,feed_01,wear_01,cool_01,vib_cnc_01,state,rul_steps
0,0,8275.818,200.0,66.497,23.822,1.04,0,402
0,1,8432.579,200.0,64.725,23.744,0.941,0,401
0,2,8356.148,213.553,67.431,23.78,0.938,0,400
0,3,8534.199,216.348,70.974,24.277,0.845,0,399
0,4,8381.623,224.184,67.983,24.119,0.805,0,398
0,5,8402.041,210.702,67.591,24.175,0.729,0,397
0,6,8338.611,210.839,66.022,24.093,0.712,0,396
0,7,8175.937,213.479,62.615,24.173,0.628,0,395
0,8,8191.586,224.002,60.925,23.756,0.593,0,394
0,9,8161.386,227.367,58.137,23.26,0.661,0,393
0,10,8143.422,229.576,60.548,23.523,0.734,0,392
0,11,8072.202,220.39,56.65,23.419,0.755,0,391
0,12,8098.809,231.754,59.272,23.416,0.679,0,390
0,13,8099.04,244.339,62.319,23.59,0.711,0,389
0,14,8230.653,249.95,63.312,23.491,0.691,0,388
0,15,8225.19,261.402,64.444,23.817,0.692,0,387
0,16,8239.776,267.366,66.001,23.536,0.777,0,386
0,17,8129.646,272.111,64.9,23.318,0.876,0,385
0,18,8201.458,265.612,66.717,23.571,0.848,0,384
0,19,8374.724,279.696,64.841,23.801,0.789,0,383
0,20,8262.092,287.875,68.402,23.797,0.751,0,382
0,21,8175.014,286.489,69.525,24.216,0.801,0,381
0,22,8326.839,294.254,68.968,24.67,0.822,0,380
0,23,8308.12,299.612,70.995,24.741,0.819,0,379
0,24,8473.673,299.849,71.3,25.178,0.911,0,378
0,25,8534.397,297.696,68.458,24.777,0.872,0,377
0,26,8338.382,308.14,66.247,24.437,0.871,0,376
0,27,8394.075,294.35,63.266,24.896,0.893,0,375
0,28,8567.256,285.677,65.669,24.543,0.917,0,374
0,29,8688.975,275.717,62.399,24.689,0.912,0,373
0,30,8704.192,281.536,65.176,24.826,0.979,0,372
0,31,8893.691,296.205,64.317,24.568,1.051,0,371
0,32,8825.838,305.392,61.93,24.243,1.038,0,370
0,33,8782.553,292.839,65.599,24.067,0.961,0,369
0,34,8681.327,280.032,66.087,24.361,0.995,0,368
0,35,8641.041,288.575,65.447,23.868,0.977,0,367
0,36,8487.375,278.001,62.582,23.667,0.943,0,366
