cycle_id,timestep,temp_01,vib_01,pres_01,rpm_01,pwr_01,state,rul_steps
0,0,64.3,3.274,102.922,1717.8,16.851,0,235
0,1,65.15,3.303,103.309,1716.7,16.742,0,234
0,2,65.26,3.216,103.703,1719.3,16.845,0,233
0,3,64.97,3.31,104.174,1724.9,16.723,0,232
0,4,64.91,3.219,103.76,1728.6,16.821,0,231
0,5,65.84,3.184,103.604,1728.0,16.696,0,230
0,6,65.1,3.179,103.276,1731.4,16.671,0,229
0,7,65.77,3.219,103.051,1738.0,16.793,0,228
0,8,65.54,3.177,103.27,1730.8,16.673,0,227
0,9,64.55,3.234,103.468,1734.9,16.786,0,226
0,10,64.47,3.248,103.036,1727.2,16.853,0,225
0,11,64.41,3.261,103.354,1729.9,16.874,0,224
0,12,64.53,3.222,102.791,1728.6,16.76,0,223
0,13,64.35,3.293,102.471,1719.8,16.673,0,222
0,14,63.94,3.325,102.54,1725.5,16.738,0,221
0,15,63.75,3.388,102.14,1715.9,16.574,0,220
0,16,64.2,3.38,101.734,1715.9,16.435,0,219
0,17,64.59,3.369,101.591,1712.0,16.487,0,218
0,18,64.31,3.287,101.133,1721.2,16.651,0,217
0,19,64.71,3.24,101.696,1726.8,16.738,0,216
0,20,64.61,3.194,101.211,1734.8,16.72,0,215
0,21,64.01,3.156,101.306,1728.4,16.863,0,214
0,22,64.53,3.2,101.225,1730.9,16.896,0,213
0,23,64.83,3.116,101.124,1721.8,16.894,0,212
0,24,64.49,3.045,100.648,1723.5,16.762,0,211
0,25,65.34,3.062,100.464,1725.3,16.571,0,210
0,26,66.26,3.058,100.803,1717.0,16.566,0,209
0,27,66.24,3.146,100.89,1716.4,16.473,0,208
0,28,65.9,3.15,100.816,1706.9,16.603,0,207
0,29,66.69,3.078,100.881,1700.0,16.672,0,206
0,30,66.26,3.11,101.153,1705.4,16.515,0,205
0,31,67.09,3.056,100.598,1706.5,16.464,0,204
0,32,67.75,3.117,100.379,1715.5,16.38,0,203
0,33,67.78,3.069,100.902,1708.8,16.198,0,202
0,34,67.65,3.167,101.372,1713.8,16.354,0,201
0,35,68.44,3.171,101.151,1719.2,16.419,0,200
0,36,68.18,3.09,101.447,1714.5,16.594,0,199
0,37,67.67,3.014,101.845,1707.5,16.465,0,198
0,38,67.86,3.089,101.481,1703.8,16.576,0,197
0,39,68.81,3.089,101.053,1700.0,16.468,0,196
0,40,68.07,3.125,100.599,1700.1,16.546,0,195
0,41,68.23,3.065,100.964,1704.4,16.641,0,194
0,42,67.5,2.99,101.477,1702.4,16.562,0,193
0,43,67.47,3.022,102.024,1700.0,16.732,0,192
0,44,66.52,3.033,102.185,1700.0,16.588,0,191
0,45,66.36,3.126,102.3,1708.7,16.71,0,190
0,46,66.3,3.183,101.722,1700.8,16.841,0,189
0,47,66.89,3.13,101.759,1703.0,16.988,0,188
0,48,67.1,3.112,101.608,1701.5,17.0,0,187
0,49,67.83,3.103,101.305,1700.0,17.0,0,186
0,50,68.46,3.024,100.785,1701.9,16.858,0,185
0,51,69.11,2.986,100.357,1710.3,16.725,0,184
0,52,68.68,2.917,99.896,1700.7,16.547,0,183
0,53,68.03,2.828,100.005,1704.3,16.504,0,182
0,54,67.67,2.829,100.455,1711.4,16.322,0,181
0,55,67.03,2.776,100.155,1712.8,16.288,0,180
0,56,66.13,2.751,100.183,1704.8,16.422,0,179
0,57,65.23,2.836,99.702,1711.7,16.583,0,178
0,58,66.19,2.896,100.038,1714.5,16.694,0,177
0,59,65.46,2.903,100.055,1721.7,16.679,0,176
0,60,65.23,2.931,99.774,1714.5,16.671,0,175
0,61,65.07,2.878,99.615,1711.8,16.601,0,174
0,62,64.82,2.915,99.372,1720.8,16.768,0,173
0,63,64.79,2.88,99.414,1727.8,16.829,0,172
0,64,65.39,2.887,99.574,1723.5,16.923,0,171
0,65,64.8,2.926,100.006,1716.2,16.969,0,170
0,66,63.99,2.971,99.508,1724.9,16.824,0,169
0,67,64.91,3.031,99.62,1730.5,16.942,0,168
0,68,65.8,2.982,99.728,1722.4,16.988,0,167
0,69,65.14,2.995,99.815,1721.8,16.997,0,166
0,70,65.67,3.055,99.806,1723.8,17.0,0,165
0,71,64.91,2.978,99.311,1726.9,16.967,0,164
0,72,65.46,3.013,99.112,1734.9,17.0,0,163
0,73,65.0,2.985,98.889,1728.0,16.859,0,162
0,74,65.87,2.973,98.749,1732.6,16.88,0,161
0,75,66.74,3.029,98.724,1730.2,17.0,0,160
0,76,67.18,3.119,98.266,1737.2,17.0,0,159
0,77,66.42,3.137,98.49,1727.4,16.982,0,158
0,78,67.07,3.096,98.44,1726.3,16.902,0,157
0,79,67.91,3.152,97.973,1736.2,17.0,0,156
0,80,67.48,3.22,97.5,1746.2,17.0,0,155
0,81,67.78,3.138,97.977,1736.8,16.896,0,154
0,82,67.07,3.193,97.615,1745.0,16.959,0,153
0,83,66.14,3.094,97.076,1747.1,17.0,0,152
0,84,65.61,3.164,96.545,1753.1,17.0,0,151
0,85,66.16,3.204,96.951,1743.9,16.881,0,150
0,86,65.41,3.205,97.245,1746.5,17.0,0,149
0,87,64.72,3.251,96.877,1741.9,17.0,0,148
0,88,65.68,3.274,96.342,1744.3,16.817,0,147
0,89,66.45,3.316,95.95,1736.1,16.69,0,146
0,90,67.41,3.307,96.291,1738.8,16.719,0,145
0,91,66.7,3.397,96.052,1740.4,16.799,0,144
0,92,67.0,3.485,95.63,1740.5,16.761,0,143
0,93,66.94,3.409,95.191,1736.1,16.683,0,142
0,94,66.8,3.431,95.353,1734.3,16.646,0,141
0,95,66.24,3.448,95.133,1725.1,16.614,0,140
0,96,66.18,3.394,95.22,1726.4,16.694,0,139
0,97,66.48,3.424,95.0,1732.1,16.714,0,138
0,98,66.34,3.449,95.0,1732.4,16.809,0,137
0,99,67.12,3.5,95.004,1732.8,16.929,0,136
0,100,66.74,3.5,95.0,1725.1,16.758,0,135
